txn_id,user_id,merchant_id,bank_id,txn_time,amount,status,failure_reason,bank_name,server_status,merchant_name,category,user_name,user_city,document
30e2c03e-a070-4076-afa6-e7e7c0448834,897,120,17,2025-01-01 14:59:00,1945.26,FAILED,CARD_DECLINED,Standard Chartered,DOWN,Roach-Edwards,Grocery,Rose Foster,Normanhaven,"
Transaction ID: 30e2c03e-a070-4076-afa6-e7e7c0448834
Timestamp: 2025-01-01 14:59:00
Amount: 1945.26
Status: FAILED
Failure Reason: CARD_DECLINED
Bank: Standard Chartered (Server: DOWN)
Merchant: Roach-Edwards (Grocery)
User City: Normanhaven
"
06a16bff-daca-4322-8209-9b2f5d4ddc0a,409,195,5,2025-06-17 17:01:00,5958.95,FAILED,CARD_DECLINED,Kotak,DELAYED,"Armstrong, Adams and Dunlap",Grocery,Margaret Bates,Port Ricardo,"
Transaction ID: 06a16bff-daca-4322-8209-9b2f5d4ddc0a
Timestamp: 2025-06-17 17:01:00
Amount: 5958.95
Status: FAILED
Failure Reason: CARD_DECLINED
Bank: Kotak (Server: DELAYED)
Merchant: Armstrong, Adams and Dunlap (Grocery)
User City: Port Ricardo
"
cfe8af4a-6bf2-482d-8f49-91af62f352af,825,114,12,2024-11-09 21:20:00,9051.04,FAILED,INVALID_PIN,IDFC,ONLINE,Collins-Evans,Travel,Amber Cooper,Kramerville,"
Transaction ID: cfe8af4a-6bf2-482d-8f49-91af62f352af
Timestamp: 2024-11-09 21:20:00
Amount: 9051.04
Status: FAILED
Failure Reason: INVALID_PIN
Bank: IDFC (Server: ONLINE)
Merchant: Collins-Evans (Travel)
User City: Kramerville
"
9d791a99-1ccd-4f15-95fd-14668d8e70c9,462,86,17,2024-07-21 17:54:00,8163.24,FAILED,TIMEOUT,Standard Chartered,DOWN,Myers Group,Ecommerce,Kelly Bruce,West Cindy,"
Transaction ID: 9d791a99-1ccd-4f15-95fd-14668d8e70c9
Timestamp: 2024-07-21 17:54:00
Amount: 8163.24
Status: FAILED
Failure Reason: TIMEOUT
Bank: Standard Chartered (Server: DOWN)
Merchant: Myers Group (Ecommerce)
User City: West Cindy
"
ab3104f8-8187-44cf-bd19-a78f6d374871,22,66,12,2024-07-13 02:22:00,535.25,FAILED,CARD_DECLINED,IDFC,ONLINE,Berg-Ramos,Fashion,Vincent Lynn,Triciamouth,"
Transaction ID: ab3104f8-8187-44cf-bd19-a78f6d374871
Timestamp: 2024-07-13 02:22:00
Amount: 535.25
Status: FAILED
Failure Reason: CARD_DECLINED
Bank: IDFC (Server: ONLINE)
Merchant: Berg-Ramos (Fashion)
User City: Triciamouth
"
1fe0316a-20bc-4a86-a5b1-715b4f82be2e,408,10,9,2024-10-19 08:12:00,665.81,FAILED,INVALID_PIN,Canara,DELAYED,"Weiss, Roberts and Arnold",Food,Megan Lowery,Blevinsstad,"
Transaction ID: 1fe0316a-20bc-4a86-a5b1-715b4f82be2e
Timestamp: 2024-10-19 08:12:00
Amount: 665.81
Status: FAILED
Failure Reason: INVALID_PIN
Bank: Canara (Server: DELAYED)
Merchant: Weiss, Roberts and Arnold (Food)
User City: Blevinsstad
"
f33293ef-a44b-492f-bc33-5a3e1946aef7,966,99,16,2025-01-22 00:25:00,7794.79,FAILED,INVALID_PIN,UCO,DELAYED,"Stevenson, Roberts and Conrad",Food,Anne Hicks,New Markview,"
Transaction ID: f33293ef-a44b-492f-bc33-5a3e1946aef7
Timestamp: 2025-01-22 00:25:00
Amount: 7794.79
Status: FAILED
Failure Reason: INVALID_PIN
Bank: UCO (Server: DELAYED)
Merchant: Stevenson, Roberts and Conrad (Food)
User City: New Markview
"
59b1e4d3-97f3-4532-b928-d8e5581da12a,761,57,16,2024-09-08 17:25:00,8177.58,FAILED,INSUFFICIENT_FUNDS,UCO,DELAYED,Norris Ltd,Fashion,Roberto Ryan,Elliottfort,"
Transaction ID: 59b1e4d3-97f3-4532-b928-d8e5581da12a
Timestamp: 2024-09-08 17:25:00
Amount: 8177.58
Status: FAILED
Failure Reason: INSUFFICIENT_FUNDS
Bank: UCO (Server: DELAYED)
Merchant: Norris Ltd (Fashion)
User City: Elliottfort
"
f81fc64d-dd66-4616-8dd4-79d2e84dcd84,241,98,19,2025-01-09 20:18:00,2520.52,FAILED,INSUFFICIENT_FUNDS,AU Small,DELAYED,"Rivera, Small and Martinez",Fashion,Melissa Cooper,South Sarastad,"
Transaction ID: f81fc64d-dd66-4616-8dd4-79d2e84dcd84
Timestamp: 2025-01-09 20:18:00
Amount: 2520.52
Status: FAILED
Failure Reason: INSUFFICIENT_FUNDS
Bank: AU Small (Server: DELAYED)
Merchant: Rivera, Small and Martinez (Fashion)
User City: South Sarastad
"
14f3cd73-532c-4a28-9d9b-b3b916f62847,513,5,13,2024-08-27 20:06:00,9276.84,FAILED,CARD_DECLINED,RBL,ONLINE,Hayes and Sons,Ecommerce,Lisa Hawkins,East Anthony,"
Transaction ID: 14f3cd73-532c-4a28-9d9b-b3b916f62847
Timestamp: 2024-08-27 20:06:00
Amount: 9276.84
Status: FAILED
Failure Reason: CARD_DECLINED
Bank: RBL (Server: ONLINE)
Merchant: Hayes and Sons (Ecommerce)
User City: East Anthony
"
